title,year,authors,citations,abstract
AA-CLIP: Enhancing Zero-Shot Anomaly Detection via Anomaly-Aware CLIP,2025,"Wenxin Ma, Xu Zhang, Qingsong Yao",65,"Anomaly detection (AD) identifies outliers for applications like defect and lesion detection. While CLIP shows promise for zero-shot AD tasks due to its strong generalization capabilities, its inheren"
AA Amyloidosis: A Contemporary View,2024,"Ş. Mirioğlu, O. Uludag, O. Hurdogan",28,"Amyloid A (AA) amyloidosis is an organ- or life-threatening complication of chronic inflammatory disorders. Here, we review the epidemiology, causes, pathogenesis, clinical features, and diagnostic an"
ADNP dysregulates methylation and mitochondrial gene expression in the cerebellum of a Helsmoortel–Van der Aa syndrome autopsy case,2024,"Acta Neuropathologica, C. D’Incal, A. Dijck",14,"Background Helsmoortel–Van der Aa syndrome is a neurodevelopmental disorder in which patients present with autism, intellectual disability, and frequent extra-neurological features such as feeding and"
NIA-AA Research Framework: Toward a biological definition of Alzheimer’s disease,2018,"C. Jack, David A. Bennett, K. Blennow",1631,"In 2011, the National Institute on Aging and Alzheimer's Association created separate diagnostic recommendations for the preclinical, mild cognitive impairment, and dementia stages of Alzheimer's dise"
AA-WGAN: Attention augmented Wasserstein generative adversarial network with application to fundus retinal vessel segmentation,2023,"Meilin Liu, Zidong Wang, Han Li",51,"In this paper, a novel attention augmented Wasserstein generative adversarial network (AA-WGAN) is proposed for fundus retinal vessel segmentation, where a U-shaped network with attention augmented co"
LigParGen web server: an automatic OPLS-AA parameter generator for organic ligands,2017,"Leela S. Dodda, I. Vaca, J. Tirado-Rives",1371,Abstract The accurate calculation of protein/nucleic acid–ligand interactions or condensed phase properties by force field-based methods require a precise description of the energetics of intermolecul
French practical guidelines for the diagnosis and management of AA amyloidosis.,2023,"S. Georgin-lavialle, L. Savey, D. Buob",25,"AA amyloidosis is secondary to the deposit of excess insoluble Serum Amyloid A (SAA) protein fibrils. AA amyloidosis complicates chronic inflammatory diseases, especially chronic inflammatory rheumati"
A Review on AA 6061 Metal Matrix Composites Produced by Stir Casting,2021,"A. Kareem, J. A. Qudeiri, Asarudheen Abdudeen",222,"In recent years, many alloys as well as composites of aluminium were developed for enhanced material performance. AA 6061 is an aluminium alloy that has extensive applications due to its superior mate"
AA-RMVSNet: Adaptive Aggregation Recurrent Multi-view Stereo Network,2021,"Zizhuang Wei, Qingtian Zhu, Chen Min",191,"In this paper, we present a novel recurrent multi-view stereo network based on long short-term memory (LSTM) with adaptive aggregation, namely AA-RMVSNet. We firstly introduce an intra-view aggregatio"
A colorimetric smartphone-based sensor for on-site AA detection in tropical fruits using Fe-P/NC single-atom nanoenzyme.,2022,"Y. Li, R. Javed, Rui Li",65,Ascorbic acid is one of the important vitamins to maintain human life activities and plays an irreplaceable role in regulating human redox metabolism. Fresh fruit can provide plenty of AA to maintain 
AA-TransUNet: Attention Augmented TransUNet For Nowcasting Tasks,2022,"Yimin Yang, S. Mehrkanoon",58,Data driven modeling based approaches have recently gained a lot of attention in many challenging meteoro-logical applications including weather element forecasting. This paper introduces a novel data
Ti3C2Tx (MXene)/Pt nanoparticle electrode for the accurate detection of DA coexisting with AA and UA.,2022,"You Xue, Yapeng Zheng, E. Wang",52,"Dopamine (DA), uric acid (UA) and ascorbic acid (AA) are biomolecules widely distributed in the human body and play an important role in many physiological processes. An abnormal concentration of them"
Attention-augmented U-Net (AA-U-Net) for semantic segmentation,2022,"K. Rajamani, P. Rani, H. Siebert",49,Deep learning-based image segmentation models rely strongly on capturing sufficient spatial context without requiring complex models that are hard to train with limited labeled data. For COVID-19 infe
Systemic amyloidosis from A (AA) to T (ATTR): a review,2020,"Eli Muchtar, A. Dispenzieri, H. Magen",251,"Systemic amyloidosis is a rare protein misfolding and deposition disorder leading to progressive organ failure. There are over 15 types of systemic amyloidosis, each caused by a different precursor pr"
Effects of metformin and statins on outcomes in men with castration-resistant metastatic prostate cancer: Secondary analysis of COU-AA-301 and COU-AA-302,2022,"B. E. Wilson, A. Armstrong, J. D. de Bono",26,Background: The associations of metformin and statins with overall survival (OS) and prostate specific antigen response rate (PSA-RR) in trials in metastatic castration-resistant prostate cancer remai
Amyloid fibril structure from the vascular variant of systemic AA amyloidosis,2022,"Sambhasan Banerjee, Julian Baur, C. Daniel",25,"Systemic AA amyloidosis is a debilitating protein misfolding disease in humans and animals. In humans, it occurs in two variants that are called ‘vascular’ and ‘glomerular’, depending on the main amyl"
AA amyloid fibrils from diseased tissue are structurally different from in vitro formed SAA fibrils,2021,"A. Bansal, Matthias Schmidt, M. Rennegarbe",72,Systemic AA amyloidosis is a world-wide occurring protein misfolding disease of humans and animals. It arises from the formation of amyloid fibrils from serum amyloid A (SAA) protein. Using cryo elect
A Transformation Strategy for Highly Crystalline Covalent Triazine Frameworks: from Staggered AB to Eclipsed AA Stacking.,2020,"Zhenzhen Yang, Hao Chen, Song Wang",155,"Fabrication of crystalline covalent triazine frameworks (CTFs) under mild conditions without induction of carbonization is a long-term challenging subject. Herein, a tandem transfor-mation strategy wa"
"Assessment of GAFF2 and OPLS-AA General Force Fields in Combination with the Water Models TIP3P, SPCE, and OPC3 for the Solvation Free Energy of Druglike Organic Molecules.",2019,"Dario Vassetti, M. Pagliai, P. Procacci",211,"Molecular dynamics simulations have been performed to compute the solvation free energy and the octanol/water partition coefficients for a challenging set of selected organic molecules, characterized "
"Renal AA amyloidosis: presentation, diagnosis, and current therapeutic options: a review.",2022,"S. Karam, Mohamad Haidous, Virginie Royal",31,Amyloid A amyloidosis is thought to be the second most common form of systemic amyloidosis behind amyloidosis secondary to monoclonal Ig. It is the result of deposition of insoluble fibrils in the ext
AA Amyloidosis Associated With Cancers,2022,"Joyita Bharati, O. Lahoud, K. Jhaveri",17,"Systemic AA amyloidosis is associated with systemic inflammatory processes such as autoimmune disorders or chronic infections. In addition, AA amyloidosis can develop in a localized or systemic form i"
